area_id,gp_patients,gp_patients_diabetes,estimated_diabetes_prevalence
E05000433,12826,629,4.9
E05000434,12243,622,5.1
E05000435,15285,693,5.5
E05000436,15998,968,6.1
E05000437,13540,1015,7.5
E05000438,12811,655,5.1
E05000439,17079,942,5.5
E05000440,12905,1062,8.2
E05000441,13477,826,6.1
E05000442,12699,978,7.7
E05000443,17672,978,5.5
E05000444,12370,716,5.8
E05000445,12571,942,7.5
E05000446,12687,751,5.9
E05000447,12975,798,6.2
E05000448,18475,1155,6.3
E05000449,17986,1069,5.9
E05000450,13626,792,5.8
E05000451,13204,976,7.4
E05000452,13230,847,6.4
E05000453,15776,959,6.1
E05000454,12551,1062,8.5
E05000455,10054,441,4.4
E05000456,8721,464,5.3
E05000457,10189,627,6.2
E05000458,10870,812,7.5
E05000459,9016,366,4.1
E05000460,11278,884,7.8
E05000461,9769,673,6.9
E05000462,8903,313,3.5
E05000463,10203,718,7
E05000464,9886,839,8.5
E05000465,8087,526,6.5
E05000466,9232,511,5.5
E05000467,10215,905,8.9
E05000468,9273,770,8.3
E05000469,9550,373,3.9
E05000470,9842,809,8.2
E05000471,9376,425,4.5
E05000472,8199,248,3
E05000473,9815,547,5.6
E05000474,10586,424,4
E05000475,14881,877,5.9
E05000476,14088,1415,10.4
E05000477,14765,1135,7.7
E05000478,14360,1048,7.3
E05000479,12557,862,6.9
E05000480,14624,1459,10.2
E05000481,13773,1444,11.7
E05000482,13732,1251,9.4
E05000483,15021,1137,7.6
E05000484,17036,1266,7.5
E05000485,16056,1642,10.6
E05000486,15595,1566,10.1
E05000487,15338,1656,10.9
E05000488,14484,1564,11
E05000489,13701,1203,8.8
E05000490,15719,1333,8.6
E05000491,9932,522,5.3
E05000492,24981,1248,5
E05000493,14003,1402,10.2
E05000494,14936,1054,7.1
E05000495,12678,1229,9.7
E05000496,10894,1027,9.4
E05000497,10269,611,5.9
E05000498,12335,1069,8.7
E05000499,10201,517,5.1
E05000500,11271,1088,9.7
E05000501,14206,1433,10.1
E05000502,11514,1178,10.2
E05000503,11401,868,7.6
